行列头两行不会被读取,,,
,,与item物品表id对应,0-4，共5个
,导出字段名,id,pos
,导出字段描述,id,位置
,字段控制,,
,服务器导出字段类型,int32,int32
残响-地1星，1号位,,3000,0
残响-地1星，1号位,,3001,0
残响-地1星，1号位,,3002,0
残响-地1星，1号位,,3003,0
残响-地1星，1号位,,3004,0
残响-地1星，1号位,,3005,0
残响-地1星，2号位,,3006,1
残响-地1星，2号位,,3007,1
残响-地1星，2号位,,3008,1
残响-地1星，2号位,,3009,1
残响-地1星，2号位,,3010,1
残响-地1星，2号位,,3011,1
残响-地1星，3号位,,3012,2
残响-地1星，3号位,,3013,2
残响-地1星，3号位,,3014,2
残响-地1星，3号位,,3015,2
残响-地1星，3号位,,3016,2
残响-地1星，3号位,,3017,2
残响-地1星，4号位,,3018,3
残响-地1星，4号位,,3019,3
残响-地1星，4号位,,3020,3
残响-地1星，4号位,,3021,3
残响-地1星，4号位,,3022,3
残响-地1星，4号位,,3023,3
残响-地1星，5号位,,3024,4
残响-地1星，5号位,,3025,4
残响-地1星，5号位,,3026,4
残响-地1星，5号位,,3027,4
残响-地1星，5号位,,3028,4
残响-地1星，5号位,,3029,4
残响-地2星，1号位,,3030,0
残响-地2星，1号位,,3031,0
残响-地2星，1号位,,3032,0
残响-地2星，1号位,,3033,0
残响-地2星，1号位,,3034,0
残响-地2星，1号位,,3035,0
残响-地2星，2号位,,3036,1
残响-地2星，2号位,,3037,1
残响-地2星，2号位,,3038,1
残响-地2星，2号位,,3039,1
残响-地2星，2号位,,3040,1
残响-地2星，2号位,,3041,1
残响-地2星，3号位,,3042,2
残响-地2星，3号位,,3043,2
残响-地2星，3号位,,3044,2
残响-地2星，3号位,,3045,2
残响-地2星，3号位,,3046,2
残响-地2星，3号位,,3047,2
残响-地2星，4号位,,3048,3
残响-地2星，4号位,,3049,3
残响-地2星，4号位,,3050,3
残响-地2星，4号位,,3051,3
残响-地2星，4号位,,3052,3
残响-地2星，4号位,,3053,3
残响-地2星，5号位,,3054,4
残响-地2星，5号位,,3055,4
残响-地2星，5号位,,3056,4
残响-地2星，5号位,,3057,4
残响-地2星，5号位,,3058,4
残响-地2星，5号位,,3059,4
残响-地3星，1号位,,3060,0
残响-地3星，1号位,,3061,0
残响-地3星，1号位,,3062,0
残响-地3星，1号位,,3063,0
残响-地3星，1号位,,3064,0
残响-地3星，1号位,,3065,0
残响-地3星，2号位,,3066,1
残响-地3星，2号位,,3067,1
残响-地3星，2号位,,3068,1
残响-地3星，2号位,,3069,1
残响-地3星，2号位,,3070,1
残响-地3星，2号位,,3071,1
残响-地3星，3号位,,3072,2
残响-地3星，3号位,,3073,2
残响-地3星，3号位,,3074,2
残响-地3星，3号位,,3075,2
残响-地3星，3号位,,3076,2
残响-地3星，3号位,,3077,2
残响-地3星，4号位,,3078,3
残响-地3星，4号位,,3079,3
残响-地3星，4号位,,3080,3
残响-地3星，4号位,,3081,3
残响-地3星，4号位,,3082,3
残响-地3星，4号位,,3083,3
残响-地3星，5号位,,3084,4
残响-地3星，5号位,,3085,4
残响-地3星，5号位,,3086,4
残响-地3星，5号位,,3087,4
残响-地3星，5号位,,3088,4
残响-地3星，5号位,,3089,4
残响-地4星，1号位,,3090,0
残响-地4星，1号位,,3091,0
残响-地4星，1号位,,3092,0
残响-地4星，1号位,,3093,0
残响-地4星，1号位,,3094,0
残响-地4星，1号位,,3095,0
残响-地4星，2号位,,3096,1
残响-地4星，2号位,,3097,1
残响-地4星，2号位,,3098,1
残响-地4星，2号位,,3099,1
残响-地4星，2号位,,3100,1
残响-地4星，2号位,,3101,1
残响-地4星，3号位,,3102,2
残响-地4星，3号位,,3103,2
残响-地4星，3号位,,3104,2
残响-地4星，3号位,,3105,2
残响-地4星，3号位,,3106,2
残响-地4星，3号位,,3107,2
