行列头两行不会被读取,,,,,,,,,,,,,,,,,
,,英雄和怪物id,,,模型ID,"2:SR
3:SSR","0:先锋
1:重装
2:阻击
3:法师
4:医疗
5:侠盗
6:护卫
7:特种
8:术士

","0:无种族
1:自然（绿）
2:文明（蓝）
3:破灭（红）
4:韵律（黄）","0: 单手剑
1: 双手剑
2: 长柄
3: 手枪
4: 法杖
5: 召唤物",初始武器,初始衣服,初始鞋子,初始饰品,此列由前4列自动生成，不用填写,"对应att表
卡牌1级的属性固定值。
",,,"Demo版本
技能1
普攻攻击","Demo版本
技能2
战技1技能","Demo版本
技能3
战技2技能","Demo版本
技能4
奥义技能"
,导出字段名,id,name,,modelID,quality,profession,race,weaponType,,,,,initEquipId,attId,fragmentCompose,fragmentTransform,skill1,skill2,skill3,skill4
,导出字段描述,id,英雄名字,,模型资源,品质,职业,种族,武器类型,武器id,衣服id,鞋子id,饰品id,装备位置,属性id,合成卡牌所需碎片,重复获得卡牌转化碎片数,技能1,技能2,技能3,技能4
,字段控制,,C,,,,,,,,,,,,,,,,,,
,导出字段类型,int32,string,,int32,int32,int32,int32,int32,,,,,[]int32,int32,int32,int32,int32,int32,int32,int32
,,1,瓦尔基里,,10001,2,1,3,1,0,0,0,0,"0,0,0,0",1,50,30,101001,101002,101003,101004
,,2,普罗米修斯,,10002,3,0,2,0,1,1,1,1,"1,1,1,1",2,80,50,102001,102002,102003,102004
,,3,梅林,,10003,2,3,3,4,2,2,2,2,"2,2,2,2",3,50,30,103001,103002,103003,103004
,,4,洛基,,10004,3,4,2,5,3,3,3,3,"3,3,3,3",4,80,50,108001,108002,108003,108004
,测试击飞,5,普罗米修斯,,10002,3,0,2,0,1,1,1,1,"1,1,1,1",2,80,50,100001,100002,100003,100004
