行列头两行不会被读取,,,
,,等级,升到此级所需经验值
,导出字段名,id,exp,promoteLimit
,导出字段描述,id,品质,突破次数限制
,字段控制,,,
,导出字段类型,int32,int32,int32
,,1,0,0
,,2,901,0
,,3,908,0
,,4,923,0
,,5,952,0
,,6,999,0
,,7,1066,0
,,8,1157,0
,,9,1275,0
,,10,1425,0
,,11,1608,0
,,12,1829,0
,,13,2091,0
,,14,2396,0
,,15,2747,0
,,16,3149,0
,,17,3603,0
,,18,4113,0
,,19,4681,0
,,20,5311,0
,,21,6005,1
,,22,6766,1
,,23,7598,1
,,24,8502,1
,,25,9483,1
,,26,10542,1
,,27,11682,1
,,28,12906,1
,,29,14217,1
,,30,15618,1
,,31,17111,1
,,32,18699,1
,,33,20384,1
,,34,22170,1
,,35,24059,1
,,36,26054,1
,,37,28157,1
,,38,30370,1
,,39,32697,1
,,40,35141,1
,,41,37702,2
,,42,40386,2
,,43,43193,2
,,44,46126,2
,,45,49189,2
,,46,52383,2
,,47,55711,2
,,48,59175,2
,,49,62779,2
,,50,66524,2
,,51,70413,3
,,52,74449,3
,,53,78634,3
,,54,82971,3
,,55,87461,3
,,56,92109,3
,,57,96915,3
,,58,101882,3
,,59,107014,3
,,60,112312,3
,,61,117778,4
,,62,123416,4
,,63,129227,4
,,64,135214,4
,,65,141380,4
,,66,147727,4
,,67,154256,4
,,68,160972,4
,,69,167875,4
,,70,174969,4
,,71,182255,5
,,72,189737,5
,,73,197416,5
,,74,205295,5
,,75,213377,5
,,76,221663,5
,,77,230155,5
,,78,238858,5
,,79,247771,5
,,80,256899,5
,,81,266243,6
,,82,275805,6
,,83,285589,6
,,84,295595,6
,,85,305828,6
,,86,316288,6
,,87,326978,6
,,88,337900,6
,,89,349058,6
,,90,360452,6
,,91,372086,7
,,92,383962,7
,,93,396081,7
,,94,408446,7
,,95,421060,7
,,96,433925,7
,,97,447042,7
,,98,460415,7
,,99,474046,7
,,100,487936,7
