行列头两行不会被读取,,,,,,,,,,,,,,,,,,,
,,"物品id
",,,,,"0：普通物品
1: 装备
2: 晶石 
3: 礼包","

","0:白 1:绿 2:蓝 3:紫 4:橙
5:红",,永久物品填-1,时限开始时间,公式生成时间戳，策划不用填,0否1是,货币类型，参照Token.xlsx,,,-1：无效果 0: 掉落物品 ,-1：无需填 0: 掉落id ,,,,此列由前3列自动生成，不用填写
,导出字段名,id,name,desc,icon,GainWay,type,subType,quality,maxStack,timeLife,timeStartLife,timeStartLifeStamp,canSell,sellType,sellPrice,staleGainId,effectType,effectValue,,,,publicMisc
,导出字段描述,id,物品名字,物品描述,图标,获取途径,物品类型,物品子类型,品质,最大堆叠数,时限（分钟）,时限开始时间,时限开始时间（unix时间戳）,是否可以出售,出售货币类型,出售价格,过期后转换的掉落id,使用效果类型,使用效果参数,物品公用参数1,物品公用参数2,物品公用参数3,物品公用参数
,字段控制,,C,C,C,C,,,,,,,,,,,,,,,,,
,导出字段类型,int32,string,string,string,[]string,int32,int32,int32,int32,int32,,int32,bool,int32,int32,int32,int32,int32,,,,[]int32
,,1,卡牌升级经验药水1,卡牌升级经验道具,icon_1,"礼包,活动",0,3,0,999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,1000,0,0,"1000,0,0"
,,2,卡牌升级经验药水2,卡牌升级经验道具,icon_1,关卡,0,3,1,999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,5000,0,0,"5000,0,0"
,,3,卡牌升级经验药水3,卡牌升级经验道具,icon_1,关卡,0,3,2,999,-1,1/1/70 07:59,0,1,0,0,1,-1,-1,20000,0,0,"20000,0,0"
,,4,卡牌升级经验药水4,卡牌升级经验道具,icon_1,关卡,0,3,3,999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,100000,0,0,"100000,0,0"
,,5,卡牌升级经验药水5,卡牌升级经验道具,icon_1,关卡,0,3,4,999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,400000,0,0,"400000,0,0"
,,6,临时队伍经验道具,临时队伍经验道具,icon_1,关卡,0,4,4,999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,20000,0,0,"20000,0,0"
,,10,卡牌种类1突破道具1,卡牌第1次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,11,卡牌种类1突破道具2,卡牌第2次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,12,卡牌种类1突破道具3,卡牌第3次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,13,卡牌种类1突破道具4,卡牌第4次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,14,卡牌种类1突破道具5,卡牌第5次突破道具,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,15,卡牌种类1突破道具6,卡牌第6次突破道具,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,16,卡牌种类1突破道具7,卡牌第7次突破道具,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,20,卡牌种类2突破道具1,卡牌第1次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,21,卡牌种类2突破道具2,卡牌第2次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,22,卡牌种类2突破道具3,卡牌第3次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,23,卡牌种类2突破道具4,卡牌第4次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,24,卡牌种类2突破道具5,卡牌第5次突破道具,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,25,卡牌种类2突破道具6,卡牌第6次突破道具,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,26,卡牌种类2突破道具7,卡牌第7次突破道具,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,30,卡牌种类3突破道具1,卡牌第1次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,31,卡牌种类3突破道具2,卡牌第2次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,32,卡牌种类3突破道具3,卡牌第3次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,33,卡牌种类3突破道具4,卡牌第4次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,34,卡牌种类3突破道具5,卡牌第5次突破道具,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,35,卡牌种类3突破道具6,卡牌第6次突破道具,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,36,卡牌种类3突破道具7,卡牌第7次突破道具,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,40,卡牌种类4突破道具1,卡牌第1次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,41,卡牌种类4突破道具2,卡牌第2次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,42,卡牌种类4突破道具3,卡牌第3次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,43,卡牌种类4突破道具4,卡牌第4次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,44,卡牌种类4突破道具5,卡牌第5次突破道具,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,45,卡牌种类4突破道具6,卡牌第6次突破道具,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,46,卡牌种类4突破道具7,卡牌第7次突破道具,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,50,卡牌种类5突破道具1,卡牌第1次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,51,卡牌种类5突破道具2,卡牌第2次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,52,卡牌种类5突破道具3,卡牌第3次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,53,卡牌种类5突破道具4,卡牌第4次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
